_RAJ2000,_DEJ2000,HIP,Vmag,RAICRS,DEICRS,x_coord,y_coord
000.3465944710,+06.7914698742,   109, 7.23,0.34660201,6.79149102,-1.7819075747415216,0.21694620819901395
000.3486137639,+39.6107174008,   110, 8.61,0.34870816,39.61081788,-1.4257599609337934,1.1898132964651424
000.3498468084,+34.2818482225,   111,11.28,0.34908697,34.28185977,-1.5186052636141172,1.0443968419510692
000.3576763387,-16.9484460918,   112,10.76,0.35691658,-16.94782618,-1.7114356327310527,-0.5213537705214156
000.3656196554,+49.0104060218,   113, 8.93,0.36562073,49.01041081,-1.230493271277851,1.4270034958554807
000.3716470206,+30.7357853733,   114, 7.95,0.37167609,30.73587929,-1.5724961749441866,0.9437451250994379
000.3725848359,-62.9231304264,   115, 7.46,0.37259669,-62.9231576,-0.8486855546798744,-1.6685441293332102
000.3753231890,-33.7927710115,   116, 8.60,0.37539303,-33.79270439,-1.4989738339046055,-1.0063650679011127
000.3805565631,-72.6058993480,   117, 8.55,0.3804081,-72.60590348,-0.5659570768061964,-1.816502175103309
000.3865951357,-09.4300332791,   118, 9.20,0.38648579,-9.43003605,-1.7623355684225446,-0.29104236485839174
000.3901660249,+44.6754011607,   119, 6.82,0.39020229,44.67544581,-1.32478738872153,1.320440907222621
000.3959208190,-45.3447587783,   120, 8.29,0.39598898,-45.34468907,-1.2807668760033997,-1.3016849872502827
000.3964246310,+28.4236912780,   121, 6.83,0.39647681,28.42377416,-1.6041331062948465,0.8766560610121437
000.3987655417,-77.0657244661,   122, 4.78,0.39937928,-77.06529438,-0.4269778906533512,-1.8696436704157455
000.3998847465,+72.2366152800,   123, 7.21,0.4002411,72.23660619,-0.5960102010205118,1.8729870163915965
000.4042312331,+61.2228008031,   124, 5.58,0.40424537,61.22280406,-0.9214261136823897,1.6897318995576889
000.4046701503,-39.3367482915,   125, 8.70,0.40473165,-39.33667992,-1.400872109227465,-1.152389210294758
000.4088267282,+14.6323240212,   126, 8.06,0.40873313,14.63230674,-1.7425557201115165,0.4611582441212962
000.4122461121,-48.9356192663,   127,10.86,0.41208753,-48.93516169,-1.201651182200126,-1.3853000469685968
000.4144154784,+73.6118465973,   128, 6.50,0.41376473,73.61187664,-0.55259198210329,1.891614944133438
000.4156153520,+05.3728082325,   129, 9.32,0.41560234,5.37275092,-1.7832982185611796,0.1722464583147351
000.4182981835,-30.6925368129,   130, 9.14,0.41825279,-30.69250699,-1.5466313701343217,-0.9206621481228848
000.4198682772,+62.0180873926,   131, 8.13,0.4199422,62.01815066,-0.8991908815813735,1.704611743057709
000.4220210563,-34.6535452176,   132,10.62,0.42200516,-34.65350786,-1.4836738467180666,-1.028968652156797
000.4234760593,-40.1487020394,   133, 6.62,0.4233689,-40.14866597,-1.3851344067898006,-1.1728842162720434
000.4251968285,-01.1399597985,   134, 9.96,0.42514055,-1.13997217,-1.7865682799977336,-0.03225874989918375
000.4267963058,-00.2177767478,   135, 8.64,0.42674592,-0.21749947,-1.7872759117278396,-0.0033130266341247373
000.4286915781,+24.2531127201,   136, 6.60,0.42864226,24.2531808,-1.6549585626827252,0.7534731260897003
000.4327060603,+42.3671439079,   137, 6.25,0.43268925,42.36714821,-1.3710324760952237,1.2609126960886639
000.4374442822,-16.5316612038,   138, 7.83,0.43720393,-16.53172119,-1.7126810578201646,-0.5081258194525936
000.4452695284,+67.5069751306,   139,10.03,0.4452924,67.5069762,-0.740451315702871,1.8007835479887513
000.4533324898,-68.1048974606,   140, 9.04,0.45267471,-68.10481108,-0.7004045115060599,-1.7521947413624077
000.4534943201,+36.3503582146,   141, 8.47,0.45342986,36.3503456,-1.4818171810548926,1.1002210001176702
000.4537773294,+66.3060319601,   142, 7.33,0.45374866,66.30600204,-0.7759674713368602,1.7807441050957913
000.4552783861,+76.1755975016,   144, 8.66,0.4550899,76.17561121,-0.47020302825534677,1.9236391156596513
000.4556468962,+21.4625025445,   143,10.35,0.4551821,21.4621375,-1.6840922061687653,0.6695446923688249
000.4560351217,-03.0275038232,   145, 5.13,0.45598912,-3.02747891,-1.7827571924474654,-0.09135429182678942
000.4558388817,-25.7985258505,   146, 8.96,0.45619148,-25.79769516,-1.6136597267233355,-0.7816652786690473
000.4660599186,+21.0262362756,   147, 8.49,0.46604367,21.02624872,-1.6881074514635879,0.6562849593855343
000.4778476400,+26.0040493361,   149,11.26,0.47868501,26.00557721,-1.6329483076257016,0.804873177472931
000.4788210597,+15.5285415393,   148, 8.15,0.47879268,15.52852839,-1.7342753705883232,0.4883477570571614
000.4803049035,-37.2299527373,   150, 7.04,0.48036559,-37.22984397,-1.4378800779007868,-1.0965992976783958
000.4844189489,-28.1309480654,   152,10.02,0.48445318,-28.13095543,-1.5819198558849377,-0.847943161700587
000.4845113600,+12.6548880039,   153, 8.90,0.48454484,12.65495324,-1.7525441401221575,0.3994551705073207
000.4848741427,-41.6137744619,   151, 7.78,0.4845824,-41.61373674,-1.355560509432516,-1.208983776920471
000.4900789996,-06.0140721205,   154, 4.37,0.48996506,-6.01397169,-1.7736616350101986,-0.18451182308822178
000.4911922787,+46.2691557500,   155, 9.93,0.49113894,46.26916275,-1.2892047093831505,1.3586711096383766
000.4969301511,+63.3578262583,   156, 8.60,0.496885,63.3578458,-0.8608323827436222,1.7284267024535878
000.5004239150,-05.2139254314,   157, 8.51,0.50032768,-5.21399723,-1.7759163295006177,-0.1595507404820492
000.5008459972,-37.9018778865,   158, 7.09,0.50047134,-37.90179046,-1.4253897123880486,-1.113883078528362
000.5109068553,-02.7661707649,   159, 6.93,0.51081115,-2.76616306,-1.781541048193241,-0.08307440638701243
000.5118149003,-69.2691982711,   160, 8.68,0.5117152,-69.26920741,-0.6657971650701769,-1.7689476544958802
000.5124124896,+33.6959579461,   161, 8.98,0.51248009,33.69599071,-1.5241982634489768,1.0258416408069804
000.5133541766,+27.1186026592,   162, 9.84,0.51336753,27.11861943,-1.6181606553732826,0.8371993589628268
000.5171900180,-30.6852281661,   163, 8.98,0.51714313,-30.68523468,-1.5443768724150708,-0.9191867346901123
000.5191360406,+59.9401016991,   164, 7.98,0.51857812,59.94001211,-0.9554446820240843,1.6632791389639794
000.5197325433,-22.3274865187,   165,10.16,0.51974463,-22.32747055,-1.6534841306893038,-0.6800877907499157
000.5213171302,-56.5149308580,   166, 8.86,0.52152674,-56.51490157,-1.0177230108700106,-1.5462346244717988
000.5278262049,+39.1832029785,   167, 8.58,0.52780714,39.1832136,-1.4299839628890068,1.1758519707750816
000.5334286925,-02.8200722453,   168, 9.56,0.53352192,-2.81984528,-1.7807324522710706,-0.08471121659292061
000.5363834676,-68.2807693372,   169, 9.24,0.53502093,-68.28020594,-0.6948023689767981,-1.7539576842702045
000.5376004112,-20.8716623665,   170, 9.63,0.5376772,-20.87164212,-1.6687320358504203,-0.6370101771764601
000.5423132141,+27.0822560340,   171, 5.80,0.54018776,27.08448905,-1.6178952561034972,0.8358961480676319
000.5428714457,+67.4089524782,   172, 9.05,0.54288062,67.40895644,-0.7427585773540555,1.7980656254088165
000.5495685329,+47.5772057408,   173, 8.45,0.54959887,47.57722222,-1.2597002826048673,1.389815274821005
000.5516405359,+59.9653380069,   174, 8.86,0.55156687,59.96533825,-0.9544329465914155,1.663330566992511
000.5524079057,+49.7710861297,   175, 7.84,0.55243583,49.77113897,-1.2101960917336247,1.4422244406236528
000.5533988111,+44.4282621505,   176, 8.86,0.55333411,44.42827722,-1.3269978757098846,1.3117921059821573
000.5602276627,-11.9643520068,   177, 8.93,0.56020401,-11.96434717,-1.7426946125269305,-0.3681675704954075
000.5680682788,-27.1351529377,   178, 7.97,0.5677962,-27.13517299,-1.5933415780744626,-0.8186564248618035
000.5695149635,-13.4074374454,   179, 6.90,0.56886229,-13.40751554,-1.7328995656209876,-0.41225890848810176
000.5709120105,-09.1749278711,   180, 8.47,0.57090231,-9.17489501,-1.7579837401186755,-0.28224067600455766
000.5737724134,+60.7031677424,   181, 6.77,0.57381667,60.7031946,-0.934128342203176,1.6774564207208604
000.5811952133,+52.5864067621,   182, 8.55,0.58116809,52.58643746,-1.1433657190958404,1.5067147132493293
000.5830027756,-29.7204140222,   183, 5.04,0.58297574,-29.72044805,-1.5569931953907838,-0.8914567578555406
000.5897690883,+11.0062358857,   184, 8.48,0.58977565,11.00634091,-1.7580834064932764,0.34770498892447954
