deg	deg	HIP	mag	mas	mag	sptype
051.4344467918	+05.9354347130	 15978	 7.65	   6.68	 0.082	A0
051.4495737191	+53.9215223729	 15979	 6.51	  12.84	 0.298	A9III-IV
051.4499191101	+25.8710087913	 15980	 8.47	  11.65	 0.556	F5
051.4498790791	+59.4324621678	 15981	 8.04	   0.66	 0.264	B3III
051.4504704047	+52.3493000587	 15982	 9.04	   2.13	 1.724	K2
051.4576207601	+73.2074368544	 15983	 7.06	   4.13	 1.325	K3III
051.4587530350	+30.9317057394	 15984	 9.21	   2.81	 0.340	B8V
051.4701317873	+38.2428136803	 15985	 7.91	  12.60	 0.415	F2
051.4819114843	+53.3227205406	 15986	 7.46	   6.74	 0.144	A0
051.4826734681	-35.9208853808	 15987	 6.39	  10.01	 0.082	A1IV
051.4890875488	+49.1207566833	 15988	 6.09	   5.41	-0.073	B7V
051.4902162497	-22.0636112621	 15989	 8.41	  15.81	 0.732	G6IV
051.4913266961	-50.8024680007	 15990	 8.50	   2.39	 0.944	G8III/IV
051.4999144332	-09.4412662857	 15991	 9.52	   5.47	 0.480	F5
051.5044148617	+45.6002298383	 15992	 9.13	   7.97	 0.605	B8
051.5056584497	+08.2699756815	 15993	 9.44	   8.20	 0.550	F5
051.5069950755	-76.6162075904	 15994	 9.03	   1.26	 1.688	K5
051.5126914086	-03.3680557817	 15995	 9.64	   0.64	 1.118	G5
051.5137968974	+20.2455646611	 15996	 8.54	   3.47	 0.400	A5
051.5161320898	+42.8808684557	 15997	 8.91	   0.40	 1.045	K0
051.5178218381	+45.4579082673	 15998	10.17	  16.76	 0.850	K1
051.5176052409	+45.2995463144	 15999	 7.92	   2.87	 0.007	B9
051.5178914442	-00.6438417443	 16000	 8.56	   5.89	 0.513	F5
051.5186277620	+49.7455849582	 16001	 7.12	   0.72	 0.367	A3II
051.5194928416	-18.4406063724	 16002	 8.20	   4.58	 1.056	K0III
051.5202746126	+05.5355733294	 16003	 8.78	   4.06	 1.294	K0
051.5217399519	+42.5932801121	 16004	 9.06	   1.17	 0.277	A0
051.5309335390	-31.6612325546	 16005	 9.01	   1.49	 1.062	K0III
051.5318571336	-22.1608581858	 16006	 9.09	   2.27	 0.690	K2III
051.5365291485	+12.4817879998	 16008	 8.46	  13.68	 0.584	G0
051.5367380614	+14.2902664764	 16007	10.10	   0.66	 0.786	G0
051.5444688615	-22.9006382694	 16010	 9.86	   1.18	 0.962	K0
051.5447794509	-48.7426891573	 16009	 9.77	   0.15	 0.914	K0
051.5452206373	+48.3840425393	 16011	 7.50	   6.01	 0.040	B9.5V
051.5463217833	-30.6178099472	 16012	 7.88	  31.88	 0.716	G8V
051.5473550991	-59.2848299279	 16013	 8.88	   5.72	 0.473	F5V
051.5484812720	-33.7827053850	 16014	 8.96	   7.74	 0.576	G0V
051.5491017846	-41.6369397307	 16015	 6.33	   7.39	 0.054	A1V
051.5497782930	-04.3717565626	 16016	 8.64	   1.68	 1.028	K2
051.5527878597	-43.8166669918	 16017	 8.71	  -0.77	 1.351	K2/K3III
051.5632295873	-18.8899053354	 16018	 9.12	   4.91	 0.488	F3/F5V
051.5669876800	+56.1417365698	 16019	 7.55	   4.22	 1.872	K5
051.5711666235	+39.0673580683	 16020	 8.63	   2.80	 0.110	A0
051.5722130981	-01.0350793340	 16021	 8.68	  12.19	 0.619	F8
